n_e,T_e,B,xi,alpha,t,ripple_initial,ripple_dynamic,yield,E_total,fom,eta
1e+21,10.0,5.0,2.0,0.01,0.1,9.690934101886526e-06,9.681243167785005e-06,3e+23,100000.0,30000000000.0,True
1e+21,10.0,5.0,2.0,0.01,1.0,1.0245926061037983e-05,1.0143466800428699e-05,3e+23,1000000.0,3000000000.0,True
1e+21,10.0,5.0,4.0,0.0,0.01,9.881235607432792e-06,9.881235607432792e-06,3e+23,10000.0,300000000000.0,True
1e+21,10.0,5.0,4.0,0.0,0.1,9.869349674756942e-06,9.869349674756942e-06,3e+23,100000.0,30000000000.0,True
1e+21,10.0,5.0,4.0,0.0,1.0,9.902666686583057e-06,9.902666686583057e-06,3e+23,1000000.0,3000000000.0,True
1e+21,10.0,5.0,4.0,0.01,0.01,1.0207238167752163e-05,1.0206217443936643e-05,3e+23,10000.0,300000000000.0,True
1e+21,10.0,5.0,4.0,0.01,0.1,1.0251585792432107e-05,1.0241334206646535e-05,3e+23,100000.0,30000000000.0,True
1e+21,10.0,5.0,4.0,0.01,1.0,9.720918122745075e-06,9.623708941513949e-06,3e+23,1000000.0,3000000000.0,True
1e+21,20.0,5.0,1.0,0.0,0.01,1.0287199065306753e-05,1.0287199065306753e-05,3e+23,10000.0,300000000000.0,True
1e+21,20.0,5.0,1.0,0.0,0.1,9.953771621409245e-06,9.953771621409245e-06,3e+23,100000.0,30000000000.0,True
1e+21,20.0,5.0,1.0,0.0,1.0,9.949813442890289e-06,9.949813442890289e-06,3e+23,1000000.0,3000000000.0,True
1e+21,20.0,5.0,1.0,0.01,0.01,8.840300849249455e-06,8.839416819166941e-06,3e+23,10000.0,300000000000.0,True
1e+21,20.0,5.0,1.0,0.01,0.1,9.691814301822577e-06,9.6821224875231e-06,3e+23,100000.0,30000000000.0,True
1e+21,20.0,5.0,1.0,0.01,1.0,9.786902376100494e-06,9.689033352335255e-06,3e+23,1000000.0,3000000000.0,True
1e+21,20.0,5.0,2.0,0.0,0.01,9.39689274449794e-06,9.39689274449794e-06,3e+23,10000.0,300000000000.0,True
1e+21,20.0,5.0,2.0,0.0,0.1,9.899830203525632e-06,9.899830203525632e-06,3e+23,100000.0,30000000000.0,True
1e+21,20.0,5.0,2.0,0.0,1.0,9.163053941714819e-06,9.163053941714819e-06,3e+23,1000000.0,3000000000.0,True
1e+21,20.0,5.0,2.0,0.01,0.01,9.81012410918178e-06,9.809143096765982e-06,3e+23,10000.0,300000000000.0,True
1e+21,20.0,5.0,2.0,0.01,0.1,9.68840173787493e-06,9.678713336134119e-06,3e+23,100000.0,30000000000.0,True
1e+21,20.0,5.0,2.0,0.01,1.0,9.45717760797203e-06,9.362605831888677e-06,3e+23,1000000.0,3000000000.0,True
1e+21,20.0,5.0,4.0,0.0,0.01,1.0078439619171696e-05,1.0078439619171696e-05,3e+23,10000.0,300000000000.0,True
1e+21,20.0,5.0,4.0,0.0,0.1,9.301708875534787e-06,9.301708875534787e-06,3e+23,100000.0,30000000000.0,True
1e+21,20.0,5.0,4.0,0.0,1.0,1.0516006551267372e-05,1.0516006551267372e-05,3e+23,1000000.0,3000000000.0,True
1e+21,20.0,5.0,4.0,0.01,0.01,1.049347094647211e-05,1.0492421599374748e-05,3e+23,10000.0,300000000000.0,True
1e+21,20.0,5.0,4.0,0.01,0.1,1.0103257209034592e-05,1.0093153951827365e-05,3e+23,100000.0,30000000000.0,True
1e+21,20.0,5.0,4.0,0.01,1.0,9.875771427174765e-06,9.777013712898773e-06,3e+23,1000000.0,3000000000.0,True
